0 4 0 0 0 0 0 8 0
4 0 8 0 0 0 0 11 0
0 8 0 7 0 4 0 0 2
0 0 7 0 9 14 0 0 0
0 0 0 9 0 10 0 0 0
0 0 4 14 10 0 2 0 0
0 0 0 0 0 2 0 1 6
8 11 0 0 0 0 1 0 7
0 0 2 0 0 0 6 7 0

0	27	9	68	36	75	60	32	84
92	0	33	62	10	10	88	32	71
71	40	0	19	9	73	57	23	13
63	45	71	0	6	81	81	98	65
13	16	88	74	0	72	83	74	9
44	60	99	33	21	0	52	53	83
39	1	7	85	90	6	0	87	95
44	59	98	72	97	17	79	0	49
9	79	3	67	64	25	56	37	0

0	79	76	65	79	70	68	16	17
82	0	10	37	74	53	74	8	38
57	64	0	26	25	5	57	9	36
58	65	17	0	99	56	70	36	27
89	96	69	5	0	83	93	86	87
18	49	7	24	34	0	18	86	91
48	61	12	24	23	80	0	32	33
75	60	49	99	63	77	12	0	82
95	79	74	82	20	85	92	15	0

0	31	65	37	47	100	51	12	70
43	0	31	65	77	50	15	38	64
71	65	0	92	2	40	68	70	8
80	34	14	0	71	1	77	92	55
9	57	73	9	0	15	19	64	75
85	9	51	88	30	0	85	13	16
33	69	5	54	1	39	0	63	32
63	64	26	5	9	98	90	0	22
20	69	36	94	16	19	99	34	0

0	95	52	60	54	37	56	85	53
26	0	82	9	32	60	56	48	63
50	21	0	47	75	45	94	65	79
51	16	73	0	83	61	87	64	36
4	40	99	73	0	10	27	56	3
73	98	29	67	93	0	31	82	7
17	44	97	1	44	8	0	25	53
56	94	99	6	54	48	60	0	44
80	21	90	55	58	14	68	92	0

0	35	30	74	22	89	9	39	88
38	0	42	96	66	28	75	57	54
11	41	0	79	75	66	60	73	72
80	98	12	0	55	100	77	19	22
29	99	29	48	0	56	62	26	14
49	95	30	13	73	0	62	31	13
91	81	39	58	73	24	0	62	54
42	13	10	87	45	69	5	0	76
29	39	61	63	2	23	95	84	0

0	4	19	5	28	16	50	71	86
96	0	60	39	41	82	25	27	23
54	27	0	92	21	61	72	43	19
95	32	17	0	51	30	76	53	29
27	36	1	58	0	32	23	62	53
15	28	12	43	13	0	17	16	14
16	5	6	13	92	2	0	24	96
47	26	93	76	62	10	92	0	66
91	79	45	39	40	86	8	43	0

0	27	49	7	87	17	3	35	71
67	0	56	49	38	74	16	83	6
37	3	0	76	25	4	45	65	10
25	72	14	0	63	38	79	66	59
24	19	15	8	0	87	57	52	61
9	73	48	2	89	0	69	21	91
34	41	69	93	73	100	0	57	39
73	86	32	86	66	73	77	0	69
62	39	65	81	52	11	39	60	0

0	26	91	72	67	75	23	5	100
11	0	61	50	10	6	20	17	76
57	7	0	35	15	65	18	32	81
12	35	28	0	36	87	24	15	3
34	50	35	55	0	34	21	36	15
93	20	43	100	7	0	69	22	15
22	21	91	55	52	55	0	69	93
71	10	2	11	21	66	94	0	47
7	63	30	45	40	44	85	60	0

0	29	38	24	67	4	83	35	72
16	0	34	42	38	80	72	59	51
85	73	0	62	31	86	100	54	75
80	31	99	0	63	99	38	3	34
97	9	70	24	0	19	3	88	37
59	78	37	26	22	0	81	68	95
86	98	94	84	21	25	0	33	64
23	64	37	2	99	3	54	0	59
24	1	28	87	12	53	40	76	0
